Age,Gender,Year_of_Study,Health_Conditions,Primary_Fitness_Goals,Weekly_Fitness_Commitment,Preferred_Workouts,Current_Activity_Level,Preferred_Workout_Time,Workout_Session_Duration,Dietary_Preferences,Eating_Out_Frequency,Preferred_Meal_Type,Share_Health_Metrics,Anonymous_Participation,Location_Sharing,Preferred_Rewards,Reminder_Preferences,Interest_in_Fitness_Groups,Interest_in_Campus_Fitness_App
22,Male,3rd Year,None,Weight Loss,1-2 times,Other,High,Morning,1 hour,Jain,Often,Indian,Yes,I don’t wish to participate in social features,Yes,College Credits,Weekly,Maybe,Somewhat Likely
23,Female,4th Year,None,Flexibility Improvement,1-2 times,Sports,Very High,Afternoon,Less than 30 minutes,Vegetarian,Rarely,Fast Food,Yes,I don’t wish to participate in social features,No,College Credits,Occasionally,Maybe,Neutral
19,Male,4th Year,Knee Pain,Muscle Gain,5-6 times,Home workouts,Low,Evening,30-45 minutes,Other,Daily,No Preference,No,No,Yes,College Credits,No reminders,Maybe,Unlikely
21,Female,1st Year,Asthma,Muscle Gain,5-6 times,Home workouts,Low,Afternoon,30-45 minutes,Vegan,Occasionally,Salads/Health Foods,Yes,No,Yes,Badges/Achievements,No reminders,Yes,Unlikely
19,Male,3rd Year,Back Pain,Stress Relief,1-2 times,Sports,High,Afternoon,Less than 30 minutes,Jain,Often,Fast Food,Yes,I don’t wish to participate in social features,No,Leaderboards,No reminders,Yes,Neutral
21,Other,3rd Year,Back Pain,Increase Stamina,Daily,Yoga,Very Low,Night,Less than 30 minutes,Other,Occasionally,Continental,Only specific data,I don’t wish to participate in social features,No,Group Challenges,Daily,Maybe,Very Unlikely
22,Female,1st Year,Back Pain,Muscle Gain,Daily,Other,Very High,Morning,30-45 minutes,Non-Vegetarian,Daily,Fast Food,Yes,I don’t wish to participate in social features,No,Badges/Achievements,Weekly,Maybe,Very Unlikely
19,Male,4th Year,None,Increase Stamina,5-6 times,Other,Low,Night,30-45 minutes,Vegetarian,Rarely,Indian,Yes,I don’t wish to participate in social features,Yes,Badges/Achievements,Weekly,Yes,Neutral
21,Male,2nd Year,Asthma,Muscle Gain,5-6 times,Outdoor running/walking,Very Low,Afternoon,Less than 30 minutes,Vegan,Often,Indian,Only specific data,No,No,Badges/Achievements,No reminders,Maybe,Unlikely
23,Other,4th Year,None,Weight Loss,1-2 times,Outdoor running/walking,High,Early Morning,1 hour,Other,Daily,No Preference,Yes,I don’t wish to participate in social features,Yes,College Credits,Weekly,Maybe,Unlikely
20,Other,1st Year,Knee Pain,Increase Stamina,5-6 times,Other,Very Low,Morning,30-45 minutes,Vegetarian,Often,Salads/Health Foods,Yes,No,Yes,Group Challenges,Daily,Yes,Somewhat Likely
18,Other,3rd Year,None,Weight Loss,1-2 times,Home workouts,Very High,Early Morning,30-45 minutes,Other,Occasionally,Continental,No,I don’t wish to participate in social features,Yes,College Credits,Occasionally,Maybe,Neutral
20,Female,3rd Year,Asthma,General Fitness,3-4 times,Other,Low,Evening,More than 1 hour,Jain,Rarely,Fast Food,Only specific data,Yes,No,Badges/Achievements,Weekly,Yes,Somewhat Likely
19,Other,2nd Year,Asthma,Flexibility Improvement,3-4 times,Gym workouts,Low,Night,More than 1 hour,Vegetarian,Occasionally,No Preference,Only specific data,I don’t wish to participate in social features,No,Personalized Tips,Weekly,Yes,Somewhat Likely
20,Other,1st Year,None,General Fitness,Daily,Gym workouts,High,Afternoon,Less than 30 minutes,Non-Vegetarian,Occasionally,Continental,Only specific data,I don’t wish to participate in social features,Yes,Leaderboards,No reminders,No,Very Likely
24,Male,4th Year,None,Increase Stamina,3-4 times,Sports,Moderate,Morning,More than 1 hour,Non-Vegetarian,Rarely,Salads/Health Foods,Only specific data,I don’t wish to participate in social features,Yes,Group Challenges,Occasionally,Maybe,Very Likely
19,Female,2nd Year,Knee Pain,Flexibility Improvement,5-6 times,Outdoor running/walking,Moderate,Morning,Less than 30 minutes,Other,Often,Fast Food,No,Yes,No,Badges/Achievements,Daily,Yes,Very Likely
22,Other,1st Year,Back Pain,Muscle Gain,1-2 times,Other,Very Low,Night,1 hour,Other,Occasionally,Indian,No,I don’t wish to participate in social features,No,Group Challenges,Weekly,No,Somewhat Likely
21,Other,3rd Year,Asthma,General Fitness,5-6 times,Other,Very Low,Morning,More than 1 hour,Vegan,Daily,Continental,Only specific data,No,No,Group Challenges,Occasionally,No,Somewhat Likely
21,Other,2nd Year,Asthma,Stress Relief,3-4 times,Yoga,Low,Afternoon,1 hour,Vegan,Daily,No Preference,No,I don’t wish to participate in social features,Yes,Personalized Tips,Weekly,No,Very Unlikely
22,Other,3rd Year,Knee Pain,Muscle Gain,5-6 times,Outdoor running/walking,Low,Morning,1 hour,Vegan,Often,Salads/Health Foods,Yes,Yes,No,Group Challenges,No reminders,Maybe,Neutral
23,Male,4th Year,Asthma,Flexibility Improvement,1-2 times,Yoga,Very Low,Afternoon,Less than 30 minutes,Other,Daily,No Preference,No,Yes,No,Badges/Achievements,Weekly,Yes,Somewhat Likely
21,Other,3rd Year,Asthma,Weight Loss,3-4 times,Home workouts,High,Early Morning,Less than 30 minutes,Other,Daily,No Preference,Only specific data,No,No,Badges/Achievements,Occasionally,No,Somewhat Likely
22,Other,2nd Year,Knee Pain,General Fitness,3-4 times,Other,Very Low,Morning,Less than 30 minutes,Other,Rarely,Fast Food,No,No,Yes,Leaderboards,Occasionally,Yes,Neutral
21,Male,3rd Year,Knee Pain,Muscle Gain,5-6 times,Yoga,Very Low,Night,Less than 30 minutes,Other,Rarely,Indian,Yes,No,No,Badges/Achievements,Daily,Maybe,Very Likely
18,Male,1st Year,Knee Pain,Stress Relief,5-6 times,Home workouts,Moderate,Morning,1 hour,Jain,Rarely,Salads/Health Foods,Yes,Yes,Yes,College Credits,Weekly,Yes,Unlikely
19,Female,1st Year,Knee Pain,Increase Stamina,5-6 times,Other,Moderate,Night,1 hour,Other,Rarely,Fast Food,Only specific data,Yes,Yes,College Credits,Occasionally,Yes,Very Unlikely
20,Other,3rd Year,None,Stress Relief,3-4 times,Gym workouts,Very High,Night,Less than 30 minutes,Jain,Often,Indian,Yes,Yes,No,Personalized Tips,Weekly,Maybe,Neutral
21,Female,2nd Year,Back Pain,Muscle Gain,Daily,Sports,Moderate,Morning,30-45 minutes,Vegetarian,Occasionally,Salads/Health Foods,Only specific data,No,No,Personalized Tips,Weekly,No,Neutral
18,Other,4th Year,None,Muscle Gain,5-6 times,Outdoor running/walking,Very High,Afternoon,Less than 30 minutes,Jain,Daily,No Preference,No,No,Yes,Badges/Achievements,Daily,Yes,Very Unlikely
22,Female,4th Year,None,Increase Stamina,5-6 times,Home workouts,High,Afternoon,Less than 30 minutes,Non-Vegetarian,Daily,Indian,Only specific data,I don’t wish to participate in social features,Yes,Personalized Tips,Daily,Maybe,Somewhat Likely
19,Other,4th Year,Asthma,Weight Loss,3-4 times,Home workouts,High,Afternoon,30-45 minutes,Other,Often,Fast Food,Only specific data,No,No,College Credits,Weekly,Yes,Unlikely
